,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Unnamed: 11,
20,EAB Rowan,(South Africa),1935-1951,26,50,5,1965,236,43.66,3,12,4,
21,JM Parks,(England),1954-1968,46,68,7,1962,108*,32.16,2,9,3,
22,BA Edgar,(Newzealand),1978-1986,39,68,4,1958,161,30.59,3,12,7,
23,Abdul Razzaq,(Pakistan),1999-2006,46,77,9,1946,134,28.61,3,7,4,
24,W Jaffer,(INDIA),2000-2008,31,58,1,1944,212,34.1,5,11,6,
25,RS Kaluwitharana,(Srilanka),1992-2004,49,78,4,1933,132*,26.12,3,9,5,
26,AC MacLaren,(England),1894-1909,35,61,4,1931,140,33.87,5,8,4,
27,L Klusener,(South Africa),1996-2004,49,69,11,1906,174,32.86,4,8,4,
28,Yuvraj Singh,(INDIA),2003-2012,40,62,6,1900,169,33.92,3,11,7,
29,JO Holder,(West Indies),2014-2019,40,69,11,1898,202*,32.72,3,8,3,
30,Shoaib Malik,(Pakistan),2001-2015,35,60,6,1898,245,35.14,3,8,6,
31,RC Russell,(England),1988-1998,54,86,16,1897,128*,27.1,2,6,8,
32,Salman Butt,(Pakistan),2003-2010,33,62,0,1889,122,30.46,3,10,6,
33,PH Parfitt,(England),1961-1972,37,52,6,1882,131*,40.91,7,6,5,
34,N Dickwella,(Srilanka),2014-2019,35,64,4,1857,83,30.95,0,14,3,
35,GRJ Matthews,(Australia),1983-1993,33,53,8,1849,130,41.08,4,12,2,
36,RA Jadeja,(INDIA),2012-2019,48,69,17,1844,100*,35.46,1,14,4,
37,BRM Taylor,(Zimbabve),2004-2018,28,56,4,1840,171,35.38,6,8,3,
38,RES Wyatt,(England),1927-1937,40,64,6,1839,149,31.7,2,12,6,
39,R Illingworth,(England),1958-1973,61,90,11,1836,113,23.24,2,5,7,
40,RP Arnold,(Srilanka),1997-2004,44,69,4,1821,123,28.01,3,10,7,
41,IDS Smith,(Newzealand),1980-1992,63,88,17,1815,173,25.56,2,6,7,
42,T Bavuma,(South Africa),2014-2019,39,65,7,1812,102*,31.24,1,13,7,
43,MD Marshall,(West Indies),1978-1991,81,107,11,1810,92,18.85,0,10,15,
44,JP Crawley,(England),1994-2003,37,61,9,1800,156*,34.61,4,9,4,
45,DS Lehmann,(Australia),1998-2004,27,42,2,1798,177,44.95,5,10,2,
46,Imrul Kayes,(Bangladesh),2008-2019,39,76,2,1797,150,24.28,3,4,4,
47,NT Paranavitana,(Srilanka),2009-2012,32,60,5,1792,111,32.58,2,11,9,
48,MJ Horne,(Newzealand),1997-2003,35,65,2,1788,157,28.38,4,5,4,
49,JDP Oram,(Newzealand),2002-2009,33,59,10,1780,133,36.32,5,6,4,
0,BC Booth,(Australia),1961-1966,29,48,6,1773,169,42.21,5,10,5,
1,DS Smith,(West Indies),2003-2018,43,76,2,1760,108,23.78,1,8,7,
2,DM de Silva,(Srilanka),2016-2019,29,55,4,1758,173,34.47,6,5,6,
3,CJ Tavare,(England),1980-1989,31,56,2,1755,149,32.5,2,12,5,
4,GA Faulkner,(South Africa),1906-1924,25,47,4,1754,204,40.79,4,8,2,
5,WU Tharanga,(Srilanka),2005-2017,31,58,3,1754,165,31.89,3,8,6,
6,Javed Omar,(Bangladesh),2001-2007,40,80,2,1720,119,22.05,1,8,5,
7,HH Dippenaar,(South Africa),1999-2007,38,62,5,1718,177*,30.14,3,7,8,
8,Shahid Afridi,(Pakistan),1998-2010,27,48,1,1716,156,36.51,5,8,6,
9,JE Emburey,(England),1978-1995,64,96,20,1713,75,22.53,0,10,16,
10,HM Nicholls,(Newzealand),2016-2019,31,47,5,1711,162*,40.73,5,9,4,
11,Babar Azam,(Pakistan),2016-2019,25,47,7,1707,127*,42.67,4,13,6,
12,VD Philander,(South Africa),2011-2019,61,88,19,1700,74,24.63,0,8,8,
13,HMRKB Herath,(Srilanka),1999-2018,93,144,28,1699,80*,14.64,0,3,23,
14,RL Chase,(West Indies),2016-2019,32,58,4,1695,137*,31.38,5,7,6,
15,GM Ritchie,(Australia),1982-1987,30,53,5,1690,146,35.2,3,7,1,
16,KC Bland,(South Africa),1961-1966,21,39,5,1669,144*,49.08,3,9,2,
17,MH Denness,(England),1969-1975,28,45,3,1667,188,39.69,4,7,2,
18,TG Southee,(Newzealand),2008-2019,71,104,10,1662,77*,17.68,0,5,9,
19,BC Broad,(England),1984-1989,25,44,2,1661,162,39.54,6,6,3,
20,JT Tyldesley,(England),1899-1909,31,55,1,1661,138,30.75,4,9,4,
21,J Darling,(Australia),1894-1905,34,60,2,1657,178,28.56,3,8,8,
22,J Hardstaff jnr,(England),1935-1948,23,38,3,1636,205*,46.74,4,10,4,
23,MS Sinclair,(Newzealand),1999-2010,33,56,5,1635,214,32.05,3,4,4,
24,WR Endean,(South Africa),1951-1958,28,52,4,1630,162*,33.95,3,8,3,
25,RB McCosker,(Australia),1975-1980,25,46,5,1622,127,39.56,4,9,5,
26,SV Carlisle,(Zimbabve),1995-2005,37,66,6,1615,118,26.91,2,8,7,
27,NJ Contractor,(INDIA),1955-1962,31,52,1,1611,108,31.58,1,11,2,
28,Yashpal Sharma,(INDIA),1979-1983,37,59,11,1606,140,33.45,2,9,4,
29,JJ Crowe,(Newzealand),1983-1990,39,65,4,1601,128,26.24,3,6,6,
30,RT Robinson,(England),1984-1989,29,49,5,1601,175,36.38,4,6,5,
31,M Prabhakar,(INDIA),1984-1995,39,58,9,1600,120,32.65,1,9,3,
32,AP Sheahan,(Australia),1967-1974,31,53,6,1594,127,33.91,2,7,3,
33,WA Brown,(Australia),1934-1948,22,35,1,1592,206*,46.82,4,9,1,
34,SM Patil,(INDIA),1980-1984,29,47,4,1588,174,36.93,4,7,4,
35,SB Styris,(Newzealand),2002-2007,29,48,4,1586,170,36.04,5,6,5,
36,RH Catterall,(South Africa),1922-1931,24,43,2,1555,120,37.92,3,11,3,
37,T Taibu,(Zimbabve),2001-2012,28,54,3,1546,153,30.31,1,12,5,
38,E Paynter,(England),1931-1939,20,31,5,1540,243,59.23,4,7,3,
39,PJ Hughes,(Australia),2009-2013,26,49,2,1535,160,32.65,3,7,6,
40,BF Hastings,(Newzealand),1969-1976,31,56,6,1510,117*,30.2,4,7,6,
41,KD Mackay,(Australia),1956-1963,37,52,7,1507,89,33.48,0,13,6,
42,RR Lindwall,(Australia),1946-1960,61,84,13,1502,118,21.15,2,5,9,
43,Qasim Umar,(Pakistan),1983-1986,26,43,2,1502,210,36.63,3,5,2,
44,GS Ballance,(England),2014-2017,23,42,2,1498,156,37.45,4,7,3,
45,SD Hope,(West Indies),2015-2019,31,58,3,1498,147,27.23,2,5,2,
46,JM Parker,(Newzealand),1973-1980,36,63,2,1498,121,24.55,3,5,4,
47,RW Barber,(England),1960-1968,28,45,3,1495,185,35.59,1,9,1,
48,Intikhab Alam,(Pakistan),1959-1977,47,77,10,1493,138,22.28,1,8,10,
49,MA Starc,(Australia),2011-2019,56,84,17,1493,99,22.28,0,10,11,
0,Yasir Hameed,(Pakistan),2003-2010,25,49,3,1491,170,32.41,2,8,1,
1,WB Phillips,(Australia),1983-1986,27,48,2,1485,159,32.28,2,7,1,
2,AC Voges,(Australia),2015-2016,20,31,7,1485,269*,61.87,5,4,2,
3,DL Houghton,(Zimbabve),1992-1997,22,36,2,1464,266,43.05,4,4,0,
4,A Symonds,(Australia),2004-2008,26,41,5,1462,162*,40.61,2,10,4,
5,B Lee,(Australia),1999-2008,76,90,18,1451,64,20.15,0,5,14,
6,FJ Titmus,(England),1955-1975,53,76,11,1449,84*,22.29,0,10,4,
7,SO Dowrich,(West Indies),2015-2019,31,56,8,1444,125*,30.08,3,8,6,
8,JM Brearley,(England),1976-1981,39,66,3,1442,91,22.88,0,9,6,
9,NR Mongia,(INDIA),1994-2001,44,68,8,1442,152,24.03,1,6,6,
10,CEL Ambrose,(West Indies),1988-2000,98,145,29,1439,53,12.4,0,1,26,
11,WAS Oldfield,(Australia),1920-1937,54,80,17,1427,65*,22.65,0,4,9,
12,AK Markram,(South Africa),2017-2019,20,37,0,1424,152,38.48,4,6,5,
13,C Kelleway,(Australia),1910-1928,26,42,4,1422,147,37.42,3,6,1,
14,AF Giles,(England),1998-2006,54,81,13,1421,59,20.89,0,4,9,
15,MS Wade,(Australia),2012-2019,31,54,9,1418,117,31.51,4,5,2,
16,Hon.FS Jackson,(England),1893-1905,20,33,4,1415,144*,48.79,5,6,3,
17,MW Goodwin,(Zimbabve),1998-2000,19,37,4,1414,166*,42.84,3,8,4,
18,RG Nadkarni,(INDIA),1955-1968,41,67,12,1414,122*,25.7,1,7,6,
19,Khaled Mashud,(Bangladesh),2000-2007,44,84,10,1409,103*,19.04,1,3,11,
20,HDRL Thirimanne,(Srilanka),2011-2019,35,68,6,1404,155*,22.64,1,6,9,
21,RT Simpson,(England),1948-1955,27,45,3,1401,156*,33.35,4,6,6,
22,J Ryder,(Australia),1920-1929,20,32,5,1394,201*,51.62,3,9,1,
23,KLT Arthurton,(West Indies),1988-1995,33,50,5,1382,157*,30.71,2,8,8,
24,Rashid Latif,(Pakistan),1992-2003,37,57,9,1381,150,28.77,1,7,4,
25,GP Swann,(England),2008-2013,60,76,14,1370,85,22.09,0,5,5,
26,S Ramesh,(INDIA),1999-2001,19,37,1,1367,143,37.97,2,8,3,
27,Wasim Bari,(Pakistan),1967-1984,81,112,26,1366,85,15.88,0,6,19,
28,KG Viljoen,(South Africa),1930-1949,27,50,2,1365,124,28.43,2,9,5,
29,J Blackwood,(West Indies),2014-2019,28,49,4,1362,112*,30.26,1,10,5,
30,J Dyson,(Australia),1977-1984,30,58,7,1359,127*,26.64,2,5,4,
31,DJ Richardson,(South Africa),1992-1998,42,64,8,1359,109,24.26,1,8,7,
32,HL Collins,(Australia),1920-1926,19,31,1,1352,203,45.06,4,6,0,
33,Javed Burki,(Pakistan),1960-1969,25,48,4,1341,140,30.47,3,4,3,
34,BM Laird,(Australia),1979-1982,21,40,2,1341,92,35.28,0,11,2,
35,L Vincent,(Newzealand),2001-2007,23,40,1,1332,224,34.15,3,9,4,
36,OG Smith,(West Indies),1955-1959,26,42,0,1331,168,31.69,4,6,8,
37,LRD Mendis,(Srilanka),1982-1988,24,43,1,1329,124,31.64,4,8,2,
38,AK Davidson,(Australia),1953-1963,44,61,7,1328,80,24.59,0,5,1,
39,SS Das,(INDIA),2000-2002,23,40,2,1326,110,34.89,2,9,3,
40,JS Solomon,(West Indies),1958-1965,27,46,7,1326,100*,34,1,9,7,
41,DJG Sammy,(West Indies),2007-2013,38,63,2,1323,106,21.68,1,5,8,
42,JA Burns,(Australia),2014-2019,20,34,0,1321,180,38.85,4,6,5,
43,RA Duff,(Australia),1902-1905,22,40,3,1317,146,35.59,2,6,0,
44,N Boje,(South Africa),2000-2006,43,62,10,1312,85,25.23,0,4,5,
45,G Fowler,(England),1982-1985,21,37,0,1307,201,35.32,3,8,3,
46,DW Hookes,(Australia),1977-1985,23,41,3,1306,143*,34.36,1,8,4,
47,CA Davis,(West Indies),1968-1973,15,29,5,1301,183,54.2,4,4,1,
48,BW Luckhurst,(England),1970-1974,21,41,5,1298,131,36.05,4,5,4,
49,DR Jardine,(England),1928-1934,22,33,6,1296,127,48,1,10,2,
0,JF Reid,(Newzealand),1979-1986,19,31,3,1296,180,46.28,6,2,4,
1,TD Paine,(Australia),2010-2019,30,49,8,1295,92,31.58,0,7,4,
2,RL Dias,(Srilanka),1982-1987,20,36,1,1285,109,36.71,3,8,2,
3,KS More,(INDIA),1986-1993,49,64,14,1285,73,25.7,0,7,7,
4,JW Burke,(Australia),1951-1959,24,44,7,1280,189,34.59,3,5,0,
5,A Shrewsbury snr,(England),1881-1893,23,40,4,1277,164,35.47,3,4,1,
6,UC Hathurusingha,(Srilanka),1991-1999,26,44,1,1274,83,29.62,0,8,2,
7,JD Ryder,(Newzealand),2008-2011,18,33,2,1269,201,40.93,3,6,4,
8,Shahriar Nafees,(Bangladesh),2005-2013,24,48,0,1267,138,26.39,1,7,4,
9,V Pollard,(Newzealand),1965-1973,32,59,7,1266,116,24.34,2,7,4,
10,RF Surti,(INDIA),1960-1969,26,48,4,1263,99,28.7,0,9,5,
11,M Muralitharan,(Srilanka),1992-2010,133,164,56,1261,67,11.67,0,1,33,
12,MR Marsh,(Australia),2014-2019,32,55,5,1260,181,25.2,2,3,6,
13,DW Steyn,(South Africa),2004-2019,93,119,27,1251,76,13.59,0,2,14,
14,GE Gomez,(West Indies),1939-1954,29,46,5,1243,101,30.31,1,8,5,
15,HB Cameron,(South Africa),1927-1935,26,45,4,1239,90,30.21,0,10,3,
16,G Giffen,(Australia),1881-1896,31,53,0,1238,161,23.35,1,6,5,
17,WP Saha,(INDIA),2010-2019,37,50,9,1238,117,30.19,3,5,6,
18,Z Khan,(INDIA),2000-2014,92,127,24,1231,75,11.95,0,3,29,
19,DG Phadkar,(INDIA),1947-1959,31,45,7,1229,123,32.34,2,8,3,
20,DD Ebrahim,(Zimbabve),2001-2005,29,55,1,1225,94,22.68,0,10,8,
21,CB Fry,(England),1896-1912,26,41,3,1223,144,32.18,2,7,3,
22,S Wettimuny,(Srilanka),1982-1987,23,43,1,1221,190,29.07,2,6,5,
23,JN Gillespie,(Australia),1996-2006,71,93,28,1218,201*,18.73,1,2,13,
24,Haroon Rasheed,(Pakistan),1977-1983,23,36,1,1217,153,34.77,3,5,2,
25,G Miller,(England),1976-1984,34,51,4,1213,98*,25.8,0,7,5,
26,VS Ransford,(Australia),1907-1912,20,38,6,1211,143*,37.84,1,7,2,
27,MDK Perera,(Srilanka),2014-2019,41,73,8,1208,95,18.58,0,6,13,
28,SA Durani,(INDIA),1960-1973,29,50,2,1202,104,25.04,1,7,4,
29,DN Patel,(Newzealand),1987-1997,37,66,8,1200,99,20.68,0,5,10,
30,MW Tate,(England),1924-1935,39,52,5,1198,100*,25.48,1,5,5,
31,AF Kippax,(Australia),1925-1934,22,34,1,1192,146,36.12,2,8,1,
32,JHW Fingleton,(Australia),1932-1938,18,29,1,1189,136,42.46,5,3,3,
33,M Labuschagne,(Australia),2018-2019,13,21,0,1185,185,56.42,3,7,1,
34,CP Mead,(England),1911-1928,17,26,2,1185,182*,49.37,4,3,3,
35,P Willey,(England),1976-1986,26,50,6,1184,102*,26.9,2,5,2,
36,SC Williams,(West Indies),1994-2002,31,52,3,1183,128,24.14,1,3,6,
37,JM Anderson,(England),2003-2019,150,211,89,1181,81,9.68,0,1,26,
38,GS Ramchand,(INDIA),1952-1960,33,53,5,1180,109,24.58,2,5,6,
39,MTG Elliott,(Australia),1996-2004,21,36,1,1172,199,33.48,3,4,5,
40,GO Jones,(England),2004-2006,34,53,4,1172,100,23.91,1,6,2,
41,Rev.DS Sheppard,(England),1950-1963,22,33,2,1172,119,37.8,3,6,2,
42,R Edwards,(Australia),1972-1975,20,32,3,1171,170*,40.37,2,9,4,
43,MJ North,(Australia),2009-2010,21,35,2,1171,128,35.48,5,4,5,
44,PM Siddle,(Australia),2008-2019,67,94,15,1164,51,14.73,0,2,17,
45,RW Taylor,(England),1971-1984,57,83,12,1156,97,16.28,0,3,10,
46,BW Sinclair,(Newzealand),1963-1968,21,40,1,1148,138,29.43,3,3,5,
47,JM Gregory,(Australia),1920-1928,24,34,3,1146,119,36.96,2,7,3,
48,CR Woakes,(England),2013-2019,32,53,11,1145,137*,27.26,1,4,6,
49,MG Vandort,(Srilanka),2001-2008,20,33,2,1144,140,36.9,4,4,3,
0,Rajin Saleh,(Bangladesh),2003-2008,24,46,2,1141,89,25.93,0,7,8,
1,DT Lindsay,(South Africa),1963-1970,19,31,1,1130,182,37.66,3,5,2,
2,MC Carew,(West Indies),1963-1972,19,36,3,1127,109,34.15,1,5,1,
3,Faisal Iqbal,(Pakistan),2001-2010,26,44,2,1124,139,26.76,1,8,4,
4,G Gunn,(England),1907-1930,15,29,1,1120,122*,40,2,7,3,
5,AC Bannerman,(Australia),1879-1893,28,50,2,1108,94,23.08,0,8,3,
6,CC Lewis,(England),1990-1996,32,51,3,1105,117,23.02,1,4,6,
7,IK Pathan,(INDIA),2003-2008,29,40,5,1105,102,31.57,1,6,5,
8,BP Nash,(West Indies),2008-2011,21,33,0,1103,114,33.42,2,8,0,
9,JA Raval,(Newzealand),2016-2019,23,37,1,1100,132,30.55,1,7,3,
10,CJ Barnett,(England),1933-1948,20,35,4,1098,129,35.41,2,5,1,
11,WG Grace,(England),1880-1899,22,36,2,1098,170,32.29,2,5,2,
12,CB Wishart,(Zimbabve),1995-2005,27,50,1,1098,114,22.4,1,5,6,
13,Alimuddin,(Pakistan),1954-1962,25,45,2,1091,109,25.37,2,7,6,
14,Shan Masood,(Pakistan),2013-2019,19,37,0,1089,135,29.43,2,6,3,
15,VG Kambli,(INDIA),1993-1995,17,21,1,1084,227,54.2,4,3,3,
16,TM Head,(Australia),2018-2019,16,27,2,1081,161,43.24,2,7,2,
17,AMJ Hilditch,(Australia),1979-1985,18,34,0,1073,119,31.55,2,6,3,
18,SG Barnes,(Australia),1938-1948,13,19,2,1072,234,63.05,3,5,1,
19,Waqar Hasan,(Pakistan),1952-1959,21,35,1,1071,189,31.5,1,6,0,
20,JH Sinclair,(South Africa),1896-1911,25,47,1,1069,106,23.23,3,3,7,
21,ED Solkar,(INDIA),1969-1977,27,48,6,1068,102,25.42,1,6,1,
22,JKC Holt,(West Indies),1954-1959,17,31,2,1066,166,36.75,2,5,2,
23,Mohammad Rafique,(Bangladesh),2000-2008,33,63,6,1059,111,18.57,1,4,8,
24,RA Woolmer,(England),1975-1981,19,34,2,1059,149,33.09,3,2,4,
25,Saleem Yousuf,(Pakistan),1982-1990,32,44,5,1055,91*,27.05,0,5,2,
26,C White,(England),1994-2002,30,50,7,1052,121,24.46,1,5,8,
27,Sarfraz Nawaz,(Pakistan),1969-1984,55,72,13,1045,90,17.71,0,4,6,
28,C de Grandhomme,(Newzealand),2016-2019,21,32,4,1044,105,37.28,1,7,4,
29,Nasir Hossain,(Bangladesh),2011-2017,19,32,2,1044,100,34.8,1,6,2,
30,S Madan Lal,(INDIA),1974-1986,39,62,16,1042,74,22.65,0,5,7,
31,DR Flynn,(Newzealand),2008-2013,24,45,5,1038,95,25.95,0,6,8,
32,MG Hughes,(Australia),1985-1994,53,70,8,1032,72*,16.64,0,2,10,
33,Abdul Qadir,(Pakistan),1977-1990,67,77,11,1029,61,15.59,0,3,7,
34,RS Madugalle,(Srilanka),1982-1988,21,39,4,1029,103,29.4,1,7,4,
35,KD Karthik,(INDIA),2004-2018,26,42,1,1025,129,25,1,7,4,
36,NM Lyon,(Australia),2011-2019,95,122,38,1025,47,12.2,0,0,15,
37,GJ Rennie,(Zimbabve),1997-2002,23,46,1,1023,93,22.73,0,7,5,
38,S Abid Ali,(INDIA),1967-1974,29,53,3,1018,81,20.36,0,6,3,
39,AF Rae,(West Indies),1948-1953,15,24,2,1016,109,46.18,4,4,1,
40,KJ Wadsworth,(Newzealand),1969-1976,33,51,4,1010,80,21.48,0,5,5,
41,Waqar Younis,(Pakistan),1989-2003,87,120,21,1010,45,10.2,0,0,21,
42,J Srinath,(INDIA),1991-2002,67,92,21,1009,76,14.21,0,4,13,
43,SJ Snooke,(South Africa),1906-1923,26,46,1,1008,103,22.4,1,5,1,
44,Umar Akmal,(Pakistan),2009-2011,16,30,2,1003,129,35.82,1,6,1,
45,PV Simmons,(West Indies),1988-1997,26,47,2,1002,110,22.26,1,4,4,
46,JG Bracewell,(Newzealand),1980-1990,41,60,11,1001,110,20.42,1,4,13,
47,EJM Cowan,(Australia),2011-2013,18,32,0,1001,136,31.28,1,6,2,
48,IWG Johnson,(Australia),1946-1956,45,66,12,1000,77,18.51,0,6,10,
49,JM Taylor,(Australia),1920-1926,20,28,0,997,108,35.6,1,8,1,
0,AE Stoddart,(England),1888-1898,16,30,2,996,173,35.57,2,3,3,
1,KS Duleepsinhji,(England),1929-1931,12,19,2,995,173,58.52,3,5,0,
2,AV Mankad,(INDIA),1969-1978,22,42,3,991,97,25.41,0,6,3,
3,GE Tyldesley,(England),1921-1929,14,20,2,990,122,55,3,6,2,
4,KS Ranjitsinhji,(England),1896-1902,15,26,4,989,175,44.95,2,6,2,
5,LC Braund,(England),1901-1908,23,41,3,987,104,25.97,3,2,7,
6,KA Edwards,(West Indies),2011-2014,17,32,1,986,121,31.8,2,8,4,
7,R Subba Row,(England),1958-1961,13,22,1,984,137,46.85,3,4,0,
8,JW Zulch,(South Africa),1910-1921,16,32,2,983,150,32.76,2,4,0,
9,Ahmed Shehzad,(Pakistan),2013-2017,13,25,1,982,176,40.91,3,4,1,
10,BK Kunderan,(INDIA),1960-1967,18,34,4,981,192,32.7,2,3,1,
11,FS Trueman,(England),1952-1965,67,85,14,981,39*,13.81,0,0,11,
12,RJ Burns,(England),2018-2019,15,29,0,979,133,33.75,2,6,1,
13,B Yardley,(Australia),1978-1983,33,54,4,978,74,19.56,0,4,8,
14,IJ Siedle,(South Africa),1928-1936,18,34,0,977,141,28.73,1,5,3,
15,BP Patel,(INDIA),1974-1977,21,38,5,972,115*,29.45,1,5,0,
16,Junaid Siddique,(Bangladesh),2008-2012,19,37,0,969,106,26.18,1,7,2,
17,PG Fulton,(Newzealand),2006-2014,23,39,1,967,136,25.44,2,5,3,
18,JWHT Douglas,(England),1911-1925,23,35,2,962,119,29.15,1,6,3,
19,FCM Alexander,(West Indies),1957-1961,25,38,6,961,108,30.03,1,7,5,
20,SA Thomson,(Newzealand),1990-1995,19,35,4,958,120*,30.9,1,5,3,
21,PS McDonnell,(Australia),1880-1888,19,34,1,955,147,28.93,3,2,6,
22,PR Reiffel,(Australia),1992-1998,35,50,14,955,79*,26.52,0,6,5,
23,CA Roach,(West Indies),1928-1935,16,32,1,952,209,30.7,2,6,6,
24,G Ulyett,(England),1877-1890,25,39,0,949,149,24.33,1,7,6,
25,GD McKenzie,(Australia),1961-1971,60,89,12,945,76,12.27,0,2,15,
26,M Morkel,(South Africa),2006-2018,86,104,23,944,40,11.65,0,0,22,
27,CR Ervine,(Zimbabve),2011-2017,15,30,2,941,160,33.6,2,3,2,
28,CJ McDermott,(Australia),1984-1996,71,90,13,940,42*,12.2,0,0,13,
29,DL Underwood,(England),1966-1982,86,116,35,937,45*,11.56,0,0,19,
30,CA Walsh,(West Indies),1984-2001,132,185,61,936,30*,7.54,0,0,43,
31,PAJ DeFreitas,(England),1986-1995,44,68,5,934,88,14.82,0,4,10,
32,PSP Handscomb,(Australia),2016-2019,16,29,5,934,110,38.91,2,4,1,
33,PA Patel,(INDIA),2002-2018,25,38,8,934,71,31.13,0,6,4,
34,MDKJ Perera,(Srilanka),2015-2019,18,33,3,934,153*,31.13,2,4,5,
35,Asif Mujtaba,(Pakistan),1986-1997,25,41,3,928,65*,24.42,0,8,5,
36,BL Cairns,(Newzealand),1974-1985,43,65,8,928,64,16.28,0,2,7,
37,AH Kardar,(INDIA/PAK),1946-1958,26,42,3,927,93,23.76,0,5,2,
38,Saqlain Mushtaq,(Pakistan),1995-2004,49,78,14,927,101*,14.48,1,2,13,
39,APF Chapman,(England),1924-1931,26,36,4,925,121,28.9,1,5,2,
40,DS Atkinson,(West Indies),1948-1958,22,35,6,922,219,31.79,1,5,4,
41,CM Spearman,(Newzealand),1995-2000,19,37,2,922,112,26.34,1,3,3,
42,GHS Trott,(Australia),1888-1898,24,42,0,921,143,21.92,1,4,7,
43,CWJ Athey,(England),1980-1988,23,41,1,919,123,22.97,1,4,2,
44,DA Allen,(England),1960-1966,39,51,15,918,88,25.5,0,5,4,
45,JR Murray,(West Indies),1993-2002,33,45,4,918,101*,22.39,1,3,9,
46,KD Ghavri,(INDIA),1974-1981,39,57,14,913,86,21.23,0,2,2,
47,MA Holding,(West Indies),1975-1987,60,76,10,910,73,13.78,0,6,15,
48,CAG Russell,(England),1920-1923,10,18,2,910,140,56.87,5,2,2,
49,WL Murdoch,(AUS/ENG),1877-1892,19,34,5,908,211,31.31,2,1,3,
0,DK Lillee,(Australia),1971-1984,70,90,24,905,73*,13.71,0,1,10,
1,AFA Lilley,(England),1896-1909,35,52,8,903,84,20.52,0,4,10,
2,PA Jaques,(Australia),2005-2008,11,19,0,902,150,47.47,3,6,1,
3,Azhar Mahmood,(Pakistan),1997-2001,21,34,4,900,136,30,3,1,5,
4,BR Taylor,(Newzealand),1965-1973,30,50,6,898,124,20.4,2,2,8,
5,GJ Cosier,(Australia),1975-1978,18,32,1,897,168,28.93,2,3,3,
6,RJ Christiani,(West Indies),1948-1954,22,37,3,896,107,26.35,1,4,0,
7,GF Lawson,(Australia),1980-1989,46,68,12,894,74,15.96,0,4,6,
8,A Melville,(South Africa),1938-1949,11,19,2,894,189,52.58,4,3,2,
9,PM Toohey,(Australia),1977-1980,15,29,1,893,122,31.89,1,7,3,
10,SN McGregor,(Newzealand),1955-1965,25,47,2,892,111,19.82,1,3,5,
11,ATW Grout,(Australia),1957-1966,51,67,8,890,74,15.08,0,3,11,
12,KAJ Roach,(West Indies),2009-2019,56,90,17,890,41,12.19,0,0,13,
13,DB Close,(England),1949-1976,22,37,2,887,70,25.34,0,4,3,
14,AM Blignaut,(Zimbabve),2001-2005,19,36,3,886,92,26.84,0,6,6,
15,JE Cheetham,(South Africa),1949-1955,24,43,6,883,89,23.86,0,5,1,
16,JDB Robertson,(England),1947-1952,11,21,2,881,133,46.36,2,6,0,
17,A Sandham,(England),1921-1930,14,23,0,879,325,38.21,2,3,3,
18,W Watson,(England),1951-1959,23,37,3,879,116,25.85,2,3,3,
19,L Amarnath,(INDIA),1933-1952,24,40,4,878,118,24.38,1,4,5,
20,PH Edmonds,(England),1975-1987,51,65,15,875,64,17.5,0,2,5,
21,H Carter,(Australia),1907-1921,28,47,9,873,72,22.97,0,4,4,
22,HR Adhikari,(INDIA),1947-1959,21,36,8,872,114*,31.14,1,4,5,
23,MA Agarwal,(INDIA),2018-2019,9,13,0,872,243,67.07,3,3,0,
24,GC White,(South Africa),1906-1912,17,31,2,872,147,30.06,2,4,3,
25,HDPK Dharmasena,(Srilanka),1993-2004,31,51,7,868,62*,19.72,0,3,4,
26,BD Julien,(West Indies),1973-1977,24,34,6,866,121,30.92,2,3,0,
27,DG Cork,(England),1995-2002,37,56,8,864,59,18,0,3,5,
28,HJ Tayfield,(South Africa),1949-1960,37,60,9,862,75,16.9,0,2,5,
29,AR Caddick,(England),1993-2003,62,95,12,861,49*,10.37,0,0,19,
30,GRJ Roope,(England),1973-1978,21,32,4,860,77,30.71,0,7,3,
31,JDC Goddard,(West Indies),1948-1957,27,39,11,859,83*,30.67,0,4,5,
32,VM Merchant,(INDIA),1933-1951,10,18,0,859,154,47.72,3,3,2,
33,Basit Ali,(Pakistan),1993-1995,19,33,1,858,103,26.81,1,5,5,
34,JE Taylor,(West Indies),2003-2016,46,73,7,856,106,12.96,1,1,12,
35,D Gough,(England),1994-2003,58,86,18,855,65,12.57,0,2,14,
36,TG McIntosh,(Newzealand),2008-2011,17,33,2,854,136,27.54,2,4,5,
37,H Trumble,(Australia),1890-1904,32,57,14,851,70,19.79,0,4,7,
38,CM Old,(England),1972-1981,46,66,9,845,65,14.82,0,2,10,
39,RGD Willis,(England),1971-1984,90,128,55,840,28*,11.5,0,0,12,
40,PA Strang,(Zimbabve),1994-2001,24,41,10,839,106*,27.06,1,2,3,
41,SO Hetmyer,(West Indies),2017-2019,16,30,0,838,93,27.93,0,5,0,
42,AM Bacher,(South Africa),1996-1999,19,33,1,833,96,26.03,0,5,3,
43,RMH Binny,(INDIA),1979-1987,27,41,5,830,83*,23.05,0,5,7,
44,TJ Franklin,(Newzealand),1983-1991,21,37,1,828,101,23,1,4,2,
45,KJ Funston,(South Africa),1952-1958,18,33,1,824,92,25.75,0,5,2,
